site,event,date,white_id,black_id,result,UTCdate,UTCtime,white_elo,black_elo,white_rating_diff,black_rating_diff,varient,time_control,eco,termination,moves,black_title,white_title
"Site ""https://lichess.org/Ul2FncpV""","Event ""Rated Blitz game""",2020.12.31,"White ""nalsa_greatest""","Black ""Lovelishkumar""",Black won,2020.12.31,14:31:24,1672,1707,-5,5,Standard,180+2,"ECO ""A20""","Termination ""Time forfeit""",1. c4 e5 2. g3 Bc5 3. Bg2 d6 4. e3 Be6 5. Bxb7 Nd7 6. Bxa8 Qxa8 7. Nf3 Bxc4 8. d3 Be6 9. O-O Bg4 10. Nbd2 d5 11. h3 Bxh3 12. Re1 Bg4 13. e4 dxe4 14. dxe4 Ndf6 15. Qa4+ Bd7 16. Qc4 Bb6 17. Nxe5 Be6 18. Qc6+ Qxc6 19. Nxc6 Ne7 20. Nxe7 Kxe7 21. b3 Rd8 22. Nc4 Bd4 23. Rb1 Ng4 24. Be3 Bc3 25. Red1 Nxe3 26. Rxd8 Nxc4 27. Rbd1 Nd6 28. Rh8 h6 29. Rg8 Ne8 30. Rc1 Be5 31. Rc5 Bd6 32. Ra5 f6 33. Rh8 Kf7 34. Rxa7 Ke7 35. a4 Bxb3 36. a5 Bc4 37. Ra8 Bb5 38. a6 Bc6 39. Rb8 Bc5 40. Rb1 Nd6 41. Ra1 Nb5 42. Rh7 Kf7 43. Rd1 Kg8 44. Rh8+ Kxh8 45. Rd8+ Kh7 46. Kg2 Bb6 47. f3 Kg6 48. Kh3 Kg5 49. Rf8 Kg6 50. Kg4 Nd6 51. Rb8 Nc4 52. f4 Nd6 53. f5+ Kf7 54. Rh8 Nxe4 55. Kh5 Nd6 56. Rh7 Nb5 57. g4 Nd6 58. Kh4 Ne4 59. Rh8 Nc5 60. Kh5 Nxa6 61. Kh4 Nc5 62. Kh5 Bf3 63. Kh4 Ne4 64. Rc8 Nf2 65. Rd8 Bxg4 66. Rd5 Bf3 67. Kg3 Bxd5 68. Kf4 c5 69. Ke3 c4+ 70. Kd2 Be4 71. Kc3 Bd5 72. Kb4 Be3 73. Kc3 Bc5 74. Kd2 Ne4+ 75. Kc2 Bd4 76. Kd1 c3 77. Kc1 Bb3 78. Kb1 Nd2+ 79. Kc1 Ne4 80. Kb1 c2+ 81. Kc1 Be3+ 82. Kb2 c1=Q+ 83. Kxb3 Nc5+ 84. Kb4 Qb1+ 0-1,,
"Site ""https://lichess.org/Hq6Vv0y1""","Event ""Rated Blitz game""",2020.12.31,"White ""Lovelishkumar""","Black ""laotsemeetsbuddha""",Black won,2020.12.31,14:24:55,1712,1728,-5,6,Standard,180+2,"ECO ""C50""","Termination ""Normal""",1. e4 e5 2. Nf3 Nc6 3. Bc4 Bc5 4. d3 Nf6 5. Nc3 h6 6. h3 O-O 7. Nd5 Nxd5 8. Bxd5 d6 9. c3 Be6 10. Bb3 a5 11. a4 f6 12. Nh4 f5 13. Bxe6+ Kh8 14. Nxf5 Ne7 15. Nh4 Bxf2+ 16. Kd2 Bxh4 17. Kc2 Ng6 18. Qg4 Qf6 19. Bf5 Ne7 20. Rf1 g6 21. Bxh6 gxf5 22. Bg7+ Qxg7 23. Qxh4+ Qh7 24. Qf2 Qg7 25. Qh4+ Qh7 26. Qf2 f4 27. g3 f3 28. h4 Rf7 29. g4 Rg8 30. g5 Ng6 31. Rh1 Ne7 32. Rag1 Qh5 33. Rg4 Qxg4 0-1,,
"Site ""https://lichess.org/STrcvhYy""","Event ""Rated Blitz game""",2020.12.31,"White ""Lovelishkumar""","Black ""galser77""",Black won,2020.12.31,14:16:13,1718,1716,-6,6,Standard,180+2,"ECO ""B40""","Termination ""Time forfeit""",1. e4 e6 2. Nf3 c5 3. c3 Nf6 4. d3 Nc6 5. Bg5 Be7 6. Be2 O-O 7. O-O h6 8. Bh4 d5 9. e5 Ng4 10. Bxe7 Qxe7 11. d4 cxd4 12. cxd4 h5 13. h3 Nh6 14. Nbd2 f6 15. Nh4 fxe5 16. Ng6 Qf6 17. Nxf8 Qxf8 18. Nb3 exd4 19. Bxh5 e5 20. Re1 Qf5 21. f4 Qxf4 22. Rf1 Qe3+ 23. Kh1 Qe4 24. Bf3 Qg6 25. Bxd5+ Be6 26. Qf3 Rd8 27. Bxc6 bxc6 28. Qxc6 d3 29. Nc5 Bf7 30. Qxg6 Bxg6 31. Rad1 e4 32. Rf4 e3 33. Rf3 e2 34. Ra1 d2 0-1,,
"Site ""https://lichess.org/mPEGycAP""","Event ""Rated Blitz game""",2020.12.31,"White ""Xavier_Chess""","Black ""Lovelishkumar""",White won,2020.12.31,14:13:32,1678,1724,6,-6,Standard,180+2,"ECO ""C47""","Termination ""Normal""",1. e4 e5 2. Nf3 Nf6 3. Nc3 Nc6 4. d4 Nxd4 5. Nxd4 exd4 6. Qxd4 d6 7. Bg5 Be7 8. Nd5 Nxd5 9. exd5 O-O 10. Bxe7 Qxe7+ 11. Qe3 Qf6 12. O-O-O Bg4 13. f3 Bf5 14. Bd3 Rfe8 15. Qf4 g5 1-0,,
"Site ""https://lichess.org/6LnSjo1Y""","Event ""Rated Blitz game""",2020.12.31,"White ""user97""","Black ""Lovelishkumar""",White won,2020.12.31,14:03:43,1771,1729,5,-5,Standard,180+2,"ECO ""C43""","Termination ""Normal""",1. e4 e5 2. Nf3 Nf6 3. d4 Nxe4 4. dxe5 d6 5. Bc4 Bg4 6. Qd5 Be6 7. Qxe4 d5 8. Bb5+ c6 9. Qd3 cxb5 10. Qxb5+ Nc6 11. Qxb7 Qc8 12. Qb5 Rb8 13. Qd3 Nb4 14. Qe2 Qc4 15. Qxc4 dxc4 16. Na3 Nc6 17. b3 Bg4 18. Nxc4 Bxf3 19. gxf3 Nd4 20. O-O Nxf3+ 21. Kg2 Nd4 22. c3 Nc2 23. Rb1 Rd8 24. Nd6+ Bxd6 25. exd6 Rxd6 26. Rb2 Rg6+ 27. Kf3 Rf6+ 28. Kg2 Rg6+ 29. Kh1 Ne3 30. fxe3 O-O 31. Rbf2 Re6 32. Rf4 f6 33. Rd1 Rc8 34. c4 Re7 35. Rfd4 Rcc7 36. e4 Kf7 37. Bf4 Rb7 38. Bd6 Red7 39. Bc5 Rdc7 40. Bd6 Rd7 41. Bg3 Re7 42. Rd6 Kg6 43. e5 Kf5 44. exf6 gxf6 45. c5 h5 46. c6 Rbc7 47. R6d5+ Ke4 48. Bxc7 Rxc7 49. Rd7 1-0,,
"Site ""https://lichess.org/Vgloxy8L""","Event ""Rated Blitz game""",2020.12.31,"White ""Lovelishkumar""","Black ""manish716""",Draw,2020.12.31,13:54:45,1730,1687,-1,1,Standard,180+2,"ECO ""B00""","Termination ""Normal""",1. e4 Nc6 2. Nf3 f5 3. exf5 d5 4. g4 Nf6 5. Bh3 e6 6. fxe6 Bxe6 7. Qe2 Ne4 8. d3 Nc5 9. g5 Bd6 10. Bxe6 Nxe6 11. Qxe6+ Be7 12. g6 hxg6 13. Bg5 Qd6 14. Qxd6 Bxd6 15. Nc3 Rh5 16. Nxd5 Rxg5 17. Nxg5 O-O-O 18. Nf7 Re8+ 19. Kd2 Nd4 20. Nxd6+ cxd6 21. Rhe1 Nf3+ 22. Kc3 Nxe1 23. Ne3 Nf3 24. h3 Kb8 25. Nc4 d5 26. Ne3 Rc8+ 27. Kb3 a5 28. a3 d4 29. Nd5 Nd2+ 30. Ka2 Rxc2 31. Ne7 g5 32. Rg1 Nf3 33. Rg3 Ne5 34. Nf5 Rxf2 35. Nxd4 Rd2 36. Rxg5 Nxd3 37. Rb5 Nc1+ 38. Kb1 Rd1 39. Kc2 Rh1 40. Nc6+ Kc7 41. Nxa5 Ne2 42. Rxb7+ Kc8 43. Rxg7 Rxh3 44. Kb1 Rh5 45. Rg8+ Kc7 46. Rg6 Kb8 47. Nc4 Ka7 48. Kc2 Nd4+ 49. Kc3 Nb5+ 50. Kb4 Nd4 51. a4 Rh4 52. Kc5 Nb3+ 53. Kb4 Nd4 54. Rg7+ Ka6 55. Rg6+ Ka7 1/2-1/2,,
"Site ""https://lichess.org/SygakjKq""","Event ""Rated Blitz game""",2020.12.31,"White ""Nurs0302""","Black ""Lovelishkumar""",White won,2020.12.31,13:51:45,1776,1735,5,-5,Standard,180+2,"ECO ""C42""","Termination ""Normal""",1. e4 e5 2. Bc4 Nf6 3. Nf3 d6 4. O-O Nxe4 5. d4 d5 6. dxe5 dxc4 7. Qxd8+ Kxd8 8. Re1 Nc5 9. Nc3 Be6 10. Ng5 h6 11. Nxe6+ Nxe6 12. f4 g6 13. Nd5 c6 14. Nf6 Nxf4 15. Bxf4 Nd7 16. Rad1 1-0,,
"Site ""https://lichess.org/pwA2WMtx""","Event ""Rated Blitz game""",2020.12.31,"White ""Lovelishkumar""","Black ""soplador""",Black won,2020.12.31,13:41:15,1739,1879,-4,4,Standard,180+2,"ECO ""B30""","Termination ""Normal""",1. e4 c5 2. Nf3 Nc6 3. c3 g6 4. d4 cxd4 5. cxd4 d5 6. e5 Bg7 7. Bb5 a6 8. Bxc6+ bxc6 9. Nbd2 h5 10. Nb3 Nh6 11. h3 Nf5 12. Bg5 Qb6 13. Rc1 f6 14. exf6 exf6 15. Qe2+ Kf7 16. Bf4 Re8 17. Qxe8+ Kxe8 18. O-O Kf7 19. Rfe1 Bd7 20. Bd6 Re8 21. Bc5 Qb7 22. g4 hxg4 23. hxg4 Nh6 24. Rxe8 Bxe8 25. Re1 Bf8 26. g5 fxg5 27. Nxg5+ Kf6 28. Bxf8 Kxg5 29. Bxh6+ Kxh6 30. Rxe8 Qf7 31. Re3 Qf5 32. Nd2 Qc2 33. Nf3 Qxb2 34. Ne5 Qxa2 35. Nxc6 Qb1+ 36. Kg2 Qc1 37. Nb4 a5 38. Nxd5 a4 39. Nf4 a3 40. Ne6 g5 41. Nc5 a2 42. Nb3 Qb2 43. Re6+ Kg7 44. Re3 a1=Q 45. Nxa1 Qxa1 46. Kg3 Qxd4 47. Re7+ Kf6 48. Re3 Qh4+ 49. Kg2 Kf5 50. Rf3+ Ke4 51. Re3+ Kd4 52. Rg3 Qe4+ 53. f3 Qe2+ 54. Kh3 Ke3 55. Kg4 Qb5 56. f4+ Ke4 57. fxg5 Qf5+ 58. Kh4 Qh7+ 59. Kg4 Qg6 60. Kh4 Kf4 61. Rg4+ Kf3 62. Rg3+ Kf2 63. Rg4 Qh7# 0-1,,
"Site ""https://lichess.org/xAvCvZCO""","Event ""Rated Blitz game""",2020.12.31,"White ""Lovelishkumar""","Black ""Ndeniztas""",White won,2020.12.31,13:35:44,1733,1730,6,-5,Standard,180+2,"ECO ""C41""","Termination ""Normal""",1. e4 e5 2. Nf3 d6 3. Bc4 Be7 4. d3 h6 5. Nc3 f5 6. Nd5 fxe4 7. dxe4 Nf6 8. Nxe7 Qxe7 9. Qe2 Nc6 10. O-O Be6 11. Bb3 O-O-O 12. Bxe6+ Qxe6 13. a4 a6 14. Bd2 g5 15. b4 g4 16. Nh4 Qe7 17. Nf5 Qh7 18. b5 axb5 19. axb5 Nd4 20. Nxd4 exd4 21. e5 dxe5 22. Qxe5 Ne4 23. Bf4 h5 24. b6 cxb6 25. Qe6+ Rd7 26. Ra8# 1-0,,
"Site ""https://lichess.org/qvhei4aH""","Event ""Rated Blitz game""",2020.12.31,"White ""Dzambo1977""","Black ""Lovelishkumar""",Black won,2020.12.31,13:29:52,1732,1727,-6,6,Standard,180+2,"ECO ""C20""","Termination ""Time forfeit""",1. e4 e5 2. d3 Nf6 3. Be3 c6 4. Nc3 d5 5. exd5 cxd5 6. Bg5 Be7 7. Qd2 Nc6 8. O-O-O d4 9. Nce2 h6 10. Bh4 Bb4 11. c3 dxc3 12. Nxc3 Be6 13. Nf3 Rc8 0-1,,
"Site ""https://lichess.org/LDRgwGjG""","Event ""Rated Blitz game""",2020.12.31,"White ""duckdrizzle""","Black ""Lovelishkumar""",Black won,2020.12.31,13:24:59,1676,1722,-5,5,Standard,180+2,"ECO ""D30""","Termination ""Normal""",1. d4 d5 2. c4 e6 3. e3 c5 4. cxd5 exd5 5. Nf3 Nc6 6. Bb5 a6 7. Ba4 b5 8. Bb3 Bg4 9. O-O c4 10. Bc2 Nf6 11. Nc3 Be7 12. h3 Bh5 13. g4 Bg6 14. Bxg6 hxg6 15. Ne5 Qd6 16. f4 Rxh3 17. a4 b4 18. Ne2 a5 19. Bd2 g5 20. Nxc6 Qxc6 21. f5 Ne4 22. Be1 Qd6 23. f6 Qh2# 0-1,,
"Site ""https://lichess.org/gGkJuHlE""","Event ""Rated Blitz game""",2020.12.31,"White ""Lovelishkumar""","Black ""Ali-Kawas""",Black won,2020.12.31,13:17:34,1727,1736,-5,6,Standard,180+2,"ECO ""B06""","Termination ""Normal""",1. e4 g6 2. Nf3 Bg7 3. Bc4 d6 4. d4 Nd7 5. Nc3 e5 6. d5 Ngf6 7. Bg5 O-O 8. O-O a6 9. h3 h6 10. Bh4 Qe8 11. a3 Nc5 12. Re1 Nh5 13. b4 Nd7 14. Ne2 g5 15. Bg3 Nf4 16. Bh2 b5 17. Bb3 Nb6 18. h4 f6 19. g3 Nh3+ 20. Kg2 gxh4 21. Nxh4 Ng5 22. Nf5 Nxe4 23. Nxg7 Kxg7 24. Rh1 Ng5 25. Bg1 f5 26. f4 exf4 27. Nxf4 Qe4+ 28. Kf2 Qxh1 29. Qd4+ Kh7 30. c4 Qf3+ 31. Ke1 Qxg3+ 32. Kd2 Ne4+ 33. Kc2 Qxf4 34. Kb2 Qd2+ 35. Bc2 Qxd4+ 0-1,,
"Site ""https://lichess.org/m7ZCrTap""","Event ""Rated Blitz game""",2020.12.31,"White ""ketar2""","Black ""Lovelishkumar""",White won,2020.12.31,13:09:54,1748,1733,5,-6,Standard,180+2,"ECO ""A21""","Termination ""Normal""",1. c4 e5 2. Nc3 d6 3. g3 g6 4. Bg2 Bg7 5. e3 Nc6 6. Nge2 Bd7 7. O-O Nf6 8. b3 O-O 9. Bb2 a6 10. Rb1 Rb8 11. f4 Ne7 12. fxe5 dxe5 13. Na4 Bxa4 14. bxa4 Nc6 15. a3 Qd3 16. c5 Rfd8 17. Bc3 Ne4 18. Bxe4 Qxe4 19. Qb3 Na5 20. Qxf7+ Kh8 21. Bxa5 Rf8 22. Qxc7 Rxf1+ 23. Rxf1 Rg8 24. Bc3 Qxa4 25. Bxe5 Qe8 26. Bxg7+ Rxg7 27. Qf4 Rd7 28. Qf8+ Qxf8 29. Rxf8+ Kg7 30. Rb8 Rxd2 31. Nd4 Rd3 32. Rxb7+ Kh6 33. c6 Rxe3 34. c7 Rc3 35. Ne6 Rc6 36. Rb8 Rxe6 37. c8=Q Re1+ 38. Kf2 Ra1 1-0,,
"Site ""https://lichess.org/1U8kSRXN""","Event ""Rated Blitz game""",2020.12.31,"White ""Lovelishkumar""","Black ""abd-alrahman2000""",White won,2020.12.31,12:56:51,1727,1721,6,-6,Standard,180+2,"ECO ""B50""","Termination ""Time forfeit""",1. e4 c5 2. Nf3 d6 3. Bc4 Nf6 4. d3 Nc6 5. Nc3 g6 6. a3 Bg7 7. O-O O-O 8. h3 a6 9. Nd5 b5 10. Ba2 Nxd5 11. Bxd5 Bb7 12. c3 Qc7 13. Bg5 h6 14. Bf4 Kh7 15. b4 cxb4 16. axb4 Nd8 17. Bxb7 Qxb7 18. Rc1 Ne6 19. Be3 Rfc8 20. d4 Rc7 21. Re1 Rac8 22. Qd2 Qxe4 23. Bxh6 Qd5 24. Bxg7 Kxg7 25. Nh2 Qb3 26. Re3 Nf4 27. Rf3 Nd5 28. Ng4 Nxc3 29. Qh6+ Kg8 30. Re1 Qxb4 31. Qf4 Nd5 32. Qxf7+ Kh8 33. Rd1 Nc3 34. Re1 Qxd4 35. Qxg6 e5 36. Qf6+ Rg7 37. Nh6 1-0,,
"Site ""https://lichess.org/Za26RDcI""","Event ""Rated Blitz game""",2020.12.31,"White ""Rhoenest""","Black ""Lovelishkumar""",White won,2020.12.31,12:47:34,1722,1733,6,-6,Standard,180+2,"ECO ""D00""","Termination ""Normal""",1. d4 d5 2. Bf4 e6 3. e3 c5 4. Nf3 Nc6 5. h3 h6 6. Bb5 Ne7 7. Nbd2 a6 8. Bxc6+ bxc6 9. O-O cxd4 10. exd4 Ng6 11. Bh2 c5 12. Re1 Be7 13. Nb3 c4 14. Nbd2 O-O 15. b3 Bf6 16. bxc4 Bb7 17. c3 Qa5 18. Qc2 Rac8 19. c5 Rfe8 20. Rab1 Ba8 21. Rb2 Rc7 22. Reb1 Rcc8 23. Rb4 Bc6 24. Nb3 Ba4 25. Qb2 Bxb3 26. Qxb3 e5 27. Ra4 Qb5 28. Qxb5 axb5 29. Rxb5 exd4 30. cxd4 Bxd4 31. Bd6 Be5 32. Bxe5 Nxe5 33. Nxe5 Rxe5 34. f3 d4 35. Rxd4 Rexc5 36. Rxc5 Rxc5 37. Rd1 Rc2 38. Ra1 f5 39. a4 Kf7 40. a5 Rc8 41. a6 Ra8 42. a7 Ke6 43. Kf2 Kd6 44. Ke3 g5 45. Kd4 Kc6 46. Ke5 f4 47. Kf5 Kb6 48. Kg6 Kc5 49. Kxh6 Kd4 50. Kxg5 Ke3 51. Ra2 Rg8+ 52. Kh4 Ra8 53. Kg4 Rg8+ 54. Kf5 Ra8 55. h4 Rf8+ 56. Ke6 Re8+ 57. Kf7 Ra8 58. h5 1-0,,
"Site ""https://lichess.org/DZ5XmrU5""","Event ""Rated Blitz game""",2020.12.31,"White ""Lovelishkumar""","Black ""maRROon""",Black won,2020.12.31,12:46:19,1738,1783,-5,9,Standard,180+2,"ECO ""C50""","Termination ""Normal""",1. e4 e5 2. Nf3 Nc6 3. Bc4 Nd4 4. Nxe5 Qg5 5. Nxf7 Qxg2 6. Rf1 Qxe4+ 7. Be2 Nf3# 0-1,,
"Site ""https://lichess.org/O6Y1yeFl""","Event ""Rated Blitz game""",2020.12.31,"White ""Lance13""","Black ""Lovelishkumar""",Black won,2020.12.31,12:38:17,1716,1732,-5,6,Standard,180+2,"ECO ""C26""","Termination ""Time forfeit""",1. e4 e5 2. Nc3 Nf6 3. f4 d6 4. Bc4 Be6 5. Bxe6 fxe6 6. fxe5 dxe5 7. Nf3 Bb4 8. Nxe5 Qd4 9. Nf3 Qc5 10. d4 Qa5 11. O-O Bxc3 12. bxc3 Qxc3 13. Bd2 Qc4 14. e5 Ne4 15. Ng5 Qxd4+ 16. Kh1 Nf2+ 17. Rxf2 Qxf2 18. Qg4 Qf5 19. Qa4+ Nc6 20. Qb3 O-O-O 21. a4 Rxd2 22. Nf3 Rf2 23. a5 a6 24. Rb1 Nxa5 25. Qb4 b6 26. Nd4 Rf1+ 0-1,,
"Site ""https://lichess.org/gKsKQU3T""","Event ""Rated Blitz game""",2020.12.31,"White ""NewSkol""","Black ""Lovelishkumar""",Black won,2020.12.31,12:29:42,1646,1728,-5,4,Standard,180+2,"ECO ""C50""","Termination ""Normal""",1. e4 e5 2. Nf3 Nf6 3. Nc3 Nc6 4. Bc4 Bc5 5. O-O d6 6. Nd5 Bg4 7. Nxf6+ Qxf6 8. Be2 O-O 9. d3 Nd4 10. Bg5 Nxe2+ 11. Qxe2 Bxf3 12. Bxf6 Bxe2 13. Rfe1 Bg4 14. h3 Be6 15. Bh4 f5 16. c4 fxe4 17. Rxe4 Rf7 18. Kf1 Raf8 19. f3 Rf4 20. Bg3 Rxe4 21. dxe4 Bxc4+ 22. Ke1 Bd4 23. Rc1 Bxa2 24. Rxc7 Rb8 25. b4 Bc3+ 26. Ke2 Bxb4 27. Kd3 a5 28. Bh4 b5 29. Kc2 Bc4 30. Be7 Rd8 31. Rc6 Rd7 32. Bh4 a4 33. Bf2 h6 34. g4 Kh7 35. h4 Ba5 36. Ra6 Bb4 37. g5 hxg5 38. hxg5 a3 39. Be3 Bc5 40. Bxc5 dxc5 41. Rxa3 Kg6 42. Ra6+ Kxg5 43. Rc6 Kf4 44. Rxc5 Kxf3 45. Rxe5 Kf4 46. Re8 Rd4 47. e5 Re4 48. e6 Rxe6 49. Rxe6 Bxe6 50. Kc3 g6 51. Kb4 Bc4 52. Kc3 g5 53. Kd2 Kf3 0-1,,
"Site ""https://lichess.org/kVvqJLsK""","Event ""Rated Blitz game""",2020.12.31,"White ""Lovelishkumar""","Black ""Terriblefox""",White won,2020.12.31,11:54:39,1721,1764,7,-7,Standard,180+2,"ECO ""B40""","Termination ""Normal""",1. e4 c5 2. Nf3 e6 3. c3 Nc6 4. d4 Qb6 5. d5 exd5 6. exd5 Nce7 7. c4 d6 8. Qe2 Bg4 9. h3 Bh5 10. g4 Bg6 11. Bg2 O-O-O 12. Bg5 Re8 13. O-O Nf6 14. Qd2 h5 15. Bxf6 gxf6 16. Nc3 hxg4 17. hxg4 Bh6 18. Qd1 Bf4 19. a4 Qxb2 20. Nb5 a6 21. Rb1 Bh2+ 22. Nxh2 Qe5 23. Nf3 Be4 24. Nxe5 Bxg2 25. Nxd6+ Kc7 26. Nxe8+ Rxe8 27. Kxg2 fxe5 28. d6+ 1-0,,
"Site ""https://lichess.org/MwNe1MBe""","Event ""Rated Blitz game""",2020.12.31,"White ""Lovelishkumar""","Black ""stef1005""",Black won,2020.12.31,11:48:08,1728,1685,-7,23,Standard,180+2,"ECO ""B10""","Termination ""Normal""",1. e4 c6 2. Nf3 d5 3. exd5 cxd5 4. d4 Nc6 5. Nc3 Bf5 6. Bd3 Bxd3 7. Qxd3 e6 8. a3 Nf6 9. O-O h6 10. Re1 Bd6 11. Ne5 O-O 12. Nb5 Bb8 13. c3 a6 14. Qg3 Ne4 15. Qg4 axb5 16. Bxh6 Qf6 17. Rxe4 dxe4 18. Bg5 Qf5 19. Qxf5 exf5 20. Nd7 Re8 21. Nb6 Ra6 22. Nd7 f6 23. Be3 Bd6 24. d5 Ne5 25. Nb6 Nc4 26. Nxc4 bxc4 27. b4 cxb3 28. Rb1 Rxa3 29. Bc1 Ra2 30. Rxb3 Ra1 0-1,,
"Site ""https://lichess.org/xVHu7jbQ""","Event ""Rated Blitz game""",2020.12.31,"White ""Lovelishkumar""","Black ""Exterminador1973""",White won,2020.12.31,11:39:43,1722,1736,6,-6,Standard,180+2,"ECO ""B06""","Termination ""Normal""",1. e4 g6 2. Nf3 Bg7 3. d4 c6 4. c4 a6 5. Nc3 b5 6. b3 b4 7. Na4 a5 8. c5 Nf6 9. Bd3 O-O 10. Bf4 d6 11. Nb6 Ra7 12. Nxc8 Qxc8 13. cxd6 exd6 14. Bxd6 Rd8 15. Bc5 Nfd7 16. Bxa7 c5 17. Rc1 Qb7 18. Bxc5 Nxc5 19. Rxc5 Na6 20. Rxa5 Nc7 21. d5 Bc3+ 22. Nd2 Qb6 23. Ra4 Qd4 24. Qe2 Bxd2+ 25. Qxd2 Qa1+ 26. Qd1 Qc3+ 27. Ke2 Re8 28. Qc2 Nxd5 29. Qxc3 Nxc3+ 30. Kd2 Nxa4 31. bxa4 Ra8 32. Bb5 Rd8+ 33. Ke3 Rc8 34. Kd3 Rc3+ 35. Kd4 Rc2 36. Rf1 Rxa2 37. Ke3 b3 38. Rb1 b2 39. Kd3 Ra3+ 40. Kc2 Ra1 41. Rxb2 Rg1 42. g3 Rg2 43. Kb3 Rxh2 44. a5 Rh5 45. Kb4 f5 46. exf5 Rxf5 47. a6 Kg7 48. a7 h5 49. a8=Q 1-0,,
"Site ""https://lichess.org/8YECcpWT""","Event ""Rated Blitz game""",2020.12.31,"White ""Lebay""","Black ""Lovelishkumar""",Black won,2020.12.31,11:32:06,1725,1716,-6,6,Standard,180+2,"ECO ""C24""","Termination ""Time forfeit""",1. e4 e5 2. Bc4 Nf6 3. d3 Bc5 4. Ne2 d6 5. O-O Bg4 6. Be3 Bb6 7. Nd2 Nc6 8. c3 Na5 9. b4 Nxc4 10. Nxc4 d5 11. exd5 Qxd5 12. Qc2 c5 13. Bg5 e4 14. Ne3 exd3 15. Nxd5 dxc2 16. Nxf6+ gxf6 17. Bxf6 Rg8 18. Ng3 Kd7 19. Rac1 Bd1 20. Re1 Rae8 21. Rxe8 Rxe8 22. h3 cxb4 23. cxb4 Re1+ 24. Kh2 Bxf2 25. Nf5 Bg4 26. Bc3 Rxc1 0-1,,
"Site ""https://lichess.org/JY1qQSoi""","Event ""Rated Blitz game""",2020.12.31,"White ""Ivan_Kuznetsov""","Black ""Lovelishkumar""",White won,2020.12.31,11:23:57,1726,1721,6,-5,Standard,180+2,"ECO ""A09""","Termination ""Normal""",1. Nf3 d5 2. c4 dxc4 3. Na3 Nc6 4. Nxc4 e5 5. d3 Bd6 6. g3 Nge7 7. Bg2 O-O 8. O-O Ng6 9. a3 a6 10. b4 b5 11. Ne3 Bb7 12. Bb2 Re8 13. Rc1 Nd4 14. Nxd4 Bxg2 15. Kxg2 exd4 16. Bxd4 Rc8 17. Nf5 Be5 18. Bc5 Qf6 19. Ne3 Bb2 20. Rb1 Bxa3 21. Qb3 Qc6+ 22. Kg1 Bxb4 23. Bxb4 Qf6 24. Nd5 Qg5 25. h4 Qg4 26. Ne3 Qxe2 27. Rfe1 Qf3 28. Rbc1 Ne5 29. d4 Ng4 30. Nxg4 Rxe1+ 31. Rxe1 Qxg4 32. Qe3 h6 33. Rc1 Qd7 34. Ba5 Re8 35. Qc3 Re4 36. Qxc7 Qxd4 37. Qc8+ Kh7 38. Qf5+ Kg8 39. Rc8+ 1-0,,
"Site ""https://lichess.org/eF0uCGue""","Event ""Rated Blitz game""",2020.12.31,"White ""Lovelishkumar""","Black ""Glaoui""",White won,2020.12.31,10:01:00,1716,1692,5,-5,Standard,180+2,"ECO ""B01""","Termination ""Time forfeit""",1. e4 d5 2. exd5 Qxd5 3. Nc3 Qd8 4. d4 c6 5. Nf3 Bg4 6. Be2 Bxf3 7. Bxf3 Nf6 8. h3 e6 9. O-O Bb4 10. Bg5 h6 11. Bh4 O-O 12. Ne4 Be7 13. Nxf6+ Bxf6 14. Bxf6 Qxf6 15. c3 Na6 16. Re1 Nc7 17. c4 Rad8 18. Qb3 b6 19. Bxc6 Rxd4 20. Qc3 Rfd8 21. b3 Rf4 22. Qxf6 Rxf6 23. Rad1 Rxd1 24. Rxd1 Kh7 25. Rd7 Na6 26. Rxa7 Nb4 27. Be4+ g6 28. Ra4 Rf4 29. Bxg6+ fxg6 30. Rxb4 Re4 31. Rxb6 1-0,,
"Site ""https://lichess.org/JrwAm5Qx""","Event ""Rated Blitz game""",2020.12.31,"White ""rabid_insane""","Black ""Lovelishkumar""",White won,2020.12.31,09:53:50,1717,1722,6,-6,Standard,180+2,"ECO ""C21""","Termination ""Time forfeit""",1. e4 e5 2. d4 exd4 3. c3 dxc3 4. Bc4 cxb2 5. Bxb2 Bb4+ 6. Nd2 Nf6 7. Nf3 d6 8. O-O O-O 9. Qb3 a5 10. a4 Nc6 11. Rad1 Bxd2 12. Rxd2 Nxe4 13. Rd5 Be6 14. Rh5 Bxc4 15. Qxc4 Nf6 16. Rh3 h6 17. Nh4 Ne5 18. Qc3 Ne4 19. Qe3 Ng5 20. Rg3 Nc4 21. Qd4 Nxb2 22. Qxb2 Ne4 23. Rg4 Nf6 24. Rg3 b6 25. Nf5 g6 26. h4 h5 27. Rg5 Qe7 28. g3 Qe5 29. Qd2 1-0,,
