site,event,date,white_id,black_id,result,white_elo,black_elo,white_rating_diff,black_rating_diff,varient,time_control,eco,termination,moves,black_title,white_title,win/lose,my_rating,oponent_rating,year,month,day,weekday,UTCdate_time,total_moves
https://lichess.org/l80ZT9B1,Rated Blitz game,2020-08-05 00:00:00,KievUA,Lovelishkumar,White won,1615,1609,6,-5,Standard,180+2,B01,Time forfeit,1. e4 d5 2. exd5 Qxd5 3. Nc3 Qd6 4. Nf3 e6 5. d4 Nf6 6. Be3 c5 7. dxc5 Qxd1+ 8. Rxd1 Nc6 9. Bb5 1-0,no title,no title,lose,1609,1615,2020,8,5,2,2020-08-05 00:40:02,9
https://lichess.org/WTiKWVRC,Rated Blitz game,2020-08-05 00:00:00,Lovelishkumar,CToloza,Black won,1615,1610,-6,6,Standard,180+2,B34,Normal,1. e4 c5 2. Nf3 Nc6 3. d4 cxd4 4. Nxd4 g6 5. Nc3 Bg7 6. Nde2 Nf6 7. Be3 O-O 8. Qd2 Ne5 9. Bh6 Nc4 10. Qc1 Bxh6 11. Qxh6 Nxb2 12. Nf4 Qa5 13. Ne2 Nxe4 14. Qe3 Nxc3 15. Nxc3 Re8 16. Bd3 Qxc3+ 0-1,no title,no title,lose,1615,1610,2020,8,5,2,2020-08-05 00:35:01,16
https://lichess.org/ibCAlZOv,Rated Blitz game,2020-08-04 00:00:00,earnestwo,Lovelishkumar,White won,1653,1620,5,-5,Standard,180+2,D00,Normal,1. d4 d5 2. Bf4 c5 3. e3 Nc6 4. Bb5 a6 5. Bxc6+ bxc6 6. Nf3 cxd4 7. Nxd4 c5 8. Ne2 Be6 9. c3 Bc8 10. Nd2 e6 11. Nf3 Nf6 12. Ne5 Bd6 13. Qa4+ Bd7 14. Nxf7 Kxf7 15. Qc2 Bxf4 16. Nxf4 Re8 17. O-O Kg8 18. Rfe1 e5 19. Ne2 Bb5 20. Ng3 d4 21. cxd4 exd4 22. Qxc5 dxe3 23. Rxe3 Rxe3 24. Qxe3 Kh8 25. a4 Bc6 26. Rc1 Qd5 27. f3 Ng4 28. Qf4 Nf6 29. Nf5 Rb8 30. Ne7 Qd8 31. Nxc6 1-0,no title,no title,lose,1620,1653,2020,8,4,1,2020-08-04 09:03:08,31
https://lichess.org/CgkVka8u,Rated Blitz game,2020-08-04 00:00:00,Adri0000,Lovelishkumar,Black won,1539,1616,-4,4,Standard,180+2,B01,Normal,1. e4 d5 2. exd5 Qxd5 3. Nc3 Qd6 4. Nf3 e6 5. Be2 Nf6 6. O-O Be7 7. d4 O-O 8. Bg5 h6 9. Bh4 Nd5 10. Nxd5 Bxh4 11. Nxh4 Qxd5 12. c4 Qc6 13. Nf3 b6 14. b4 Bb7 15. b5 Qd6 16. Ne5 f6 17. Nf3 a6 18. a4 axb5 19. axb5 Nd7 20. Qc2 Bxf3 21. Bxf3 Rxa1 22. Rxa1 Qxd4 23. Rd1 Qe5 24. Rxd7 Ra8 25. g3 Ra1+ 26. Kg2 Qe1 27. Rd8+ Kf7 28. Bh5+ Ke7 29. Rd2 Qf1+ 30. Kf3 Qh1+ 31. Kg4 f5+ 32. Kf4 Qxh2 33. Qd3 Qxh5 34. Qd7+ Kf6 35. Qd4+ Kg6 36. Qe5 Qg4+ 37. Ke3 Re1+ 38. Re2 Rxe2+ 0-1,no title,no title,win,1616,1539,2020,8,4,1,2020-08-04 08:55:30,38
https://lichess.org/BOcndpPR,Rated Blitz game,2020-08-04 00:00:00,JosephSh,Lovelishkumar,Black won,1574,1610,-5,6,Standard,180+2,B01,Normal,1. e4 d5 2. exd5 Qxd5 3. Nc3 Qd6 4. Bb5+ Bd7 5. Nf3 c6 6. Bc4 e6 7. O-O Nf6 8. Re1 Be7 9. Ne5 O-O 10. Nxd7 Qxd7 11. d3 b5 12. Bb3 a5 13. a3 a4 14. Ba2 Bd6 15. Ne4 Nxe4 16. Rxe4 Bc7 17. Qg4 f5 18. Rd4 fxg4 19. Rxd7 Nxd7 20. Bxe6+ Rf7 21. Bxf7+ Kxf7 22. Bg5 h5 23. Re1 Re8 24. Re3 Rxe3 25. fxe3 g6 0-1,no title,no title,win,1610,1574,2020,8,4,1,2020-08-04 08:51:40,25
https://lichess.org/YSpgBytw,Rated Blitz game,2020-08-04 00:00:00,Lovelishkumar,DerShimon,Black won,1615,1656,-5,5,Standard,180+2,B54,Time forfeit,1. e4 c5 2. Nf3 d6 3. d4 cxd4 4. Nxd4 Nf6 5. Bc4 Nxe4 6. O-O Nf6 7. Re1 a6 8. Bg5 e6 9. Nc3 Be7 10. Qf3 d5 11. Bb3 O-O 12. a3 b5 13. Re2 h6 14. Bh4 Nbd7 15. Rae1 Nc5 16. Ba2 Bb7 17. Qh3 Nce4 18. f3 Nxc3 19. bxc3 Nh5 20. Nxe6 Qb6+ 21. Bf2 Nf4 22. Nxf4 Bc5 23. Nxd5 Bxf2+ 24. Rxf2 Qc5 25. Ne3 Rae8 26. Qd7 Bc6 27. Qd3 Rd8 28. Qe2 Rfe8 29. Kh1 Rd7 30. Ng4 Rxe2 31. Rfxe2 Qxc3 32. Ne5 Rd2 33. Nxf7 Kh7 0-1,no title,no title,lose,1615,1656,2020,8,4,1,2020-08-04 08:44:07,33
https://lichess.org/Vxl4yLm9,Rated Blitz game,2020-08-04 00:00:00,Lovelishkumar,horuscope,Black won,1620,1676,-5,5,Standard,180+2,B40,Normal,1. e4 c5 2. Nf3 e6 3. d4 cxd4 4. Nxd4 d5 5. e5 f6 6. f4 fxe5 7. fxe5 Nc6 8. Nf3 Bd7 9. Bg5 Be7 10. Bxe7 Ngxe7 11. Nc3 O-O 12. Bd3 Ng6 13. Ne2 Ngxe5 14. Nxe5 Nxe5 15. Qd2 Nxd3+ 16. Qxd3 Qf6 17. O-O-O a6 18. h4 Bb5 19. Qe3 Rac8 20. Rdf1 Qxf1+ 21. Rxf1 Rxf1+ 22. Kd2 Rcf8 23. Qxe6+ Kh8 24. Qxd5 R1f2 25. c4 Bc6 26. Qd4 Rxg2 27. Kd3 h6 28. Nf4 Rg3+ 29. Kc2 Rf6 30. Qd8+ Kh7 31. Qd2 Rf3 32. Qd3+ Rxd3 33. Nxd3 Rf3 34. Ne5 Rf2+ 35. Kc3 Rh2 36. Nxc6 bxc6 37. Kd4 Rxh4+ 38. Kc5 Rh2 39. Kxc6 Rxb2 40. Kd5 Rxa2 41. c5 Rc2 42. c6 h5 43. Kd6 h4 44. c7 h3 45. Kd7 h2 46. c8=Q Rxc8 47. Kxc8 a5 0-1,no title,no title,lose,1620,1676,2020,8,4,1,2020-08-04 08:37:38,47
https://lichess.org/2YabAYH0,Rated Blitz game,2020-08-04 00:00:00,raoudhoumouta,Lovelishkumar,Draw,1719,1619,-4,1,Standard,180+2,B01,Normal,1. e4 d5 2. exd5 Qxd5 3. Nc3 Qd6 4. d4 c5 5. dxc5 Qxd1+ 6. Nxd1 e6 7. Bb5+ Bd7 8. Bxd7+ Nxd7 9. b4 a5 10. c3 Be7 11. Nf3 Bf6 12. Bg5 axb4 13. Bxf6 Ngxf6 14. cxb4 Nd5 15. a3 Nxb4 16. Rb1 Nd3+ 17. Ke2 N3xc5 18. Ra1 O-O 19. Re1 b5 20. Nc3 b4 21. axb4 Nb3 22. Rxa8 Rxa8 23. Rd1 Nf6 24. Rb1 Nd4+ 25. Nxd4 Rd8 26. Nf3 Rc8 27. Nb5 Rc2+ 28. Ke3 Ng4+ 29. Kf4 Nxf2 30. Ra1 Nd3+ 31. Ke3 g6 32. Kxd3 Rxg2 33. Ra8+ Kg7 34. Nd6 Rb2 35. Kc3 Rf2 36. Kd4 Rxf3 37. Ra7 Rf4+ 38. Ke5 Rxb4 39. Rxf7+ Kh6 40. h4 Rxh4 41. Ne4 g5 42. Nf6 g4 43. Rxh7+ Kg5 44. Rg7+ Kh6 45. Rh7+ Kg5 46. Rg7+ Kh6 47. Rh7+ 1/2-1/2,no title,no title,draw,1619,1719,2020,8,4,1,2020-08-04 08:28:40,47
https://lichess.org/H4HKNuoK,Rated Blitz game,2020-08-04 00:00:00,Lovelishkumar,goranmilo5,Black won,1625,1596,-6,6,Standard,180+2,B00,Normal,1. e4 b6 2. Nf3 Bb7 3. d4 g6 4. Nc3 Bg7 5. Be2 a6 6. O-O h6 7. Be3 d6 8. Qd2 Nf6 9. d5 Ng4 10. Bd4 Ne5 11. h3 Nxf3+ 12. Bxf3 Bxd4 13. Qxd4 O-O 14. a3 Nd7 15. b4 Ne5 16. Be2 Qd7 17. f4 e6 18. dxe6 Qxe6 19. fxe5 dxe5 20. Qc4 Qxc4 21. Bxc4 b5 22. Bd5 c6 23. Bb3 a5 24. Rf2 axb4 25. Nb1 bxa3 26. Rxa3 c5 27. Bd5 Bxd5 28. exd5 Rab8 29. Rc3 c4 30. Na3 b4 31. Rxc4 bxa3 32. Ra4 Ra8 33. Rxa8 Rxa8 34. c4 a2 35. Rf1 a1=Q 36. Rxa1 Rxa1+ 37. Kf2 Kf8 38. Ke3 Ke7 39. Ke4 Kd6 40. g4 Re1+ 41. Kd3 f5 42. gxf5 gxf5 43. Kc3 f4 44. Kb4 f3 45. c5+ Kxd5 46. Kb5 f2 0-1,no title,no title,lose,1625,1596,2020,8,4,1,2020-08-04 08:21:44,46
https://lichess.org/Xz34zIGQ,Rated Blitz game,2020-08-04 00:00:00,Lovelishkumar,Xrlylyl,White won,1619,1664,6,-79,Standard,180+2,C45,Normal,1. e4 e5 2. Nf3 Nc6 3. d4 exd4 4. Nxd4 Nxd4 5. Qxd4 Qf6 6. Qc3 d6 7. Qxc7 Bg4 1-0,no title,no title,win,1619,1664,2020,8,4,1,2020-08-04 07:52:44,7
